"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"basilisk","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.16.0",NA,"reticulate","utils, methods, parallel, dir.expiry, basilisk.utils (>=
1.15.1)",NA,"knitr, rmarkdown, BiocStyle, testthat, callr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"basilisk.utils","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.16.0",NA,NA,"utils, methods, tools, dir.expiry",NA,"reticulate, knitr, rmarkdown, BiocStyle, testthat, basilisk",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"batchelor","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.20.0",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
DelayedArray, DelayedMatrixStats, BiocParallel, scuttle,
ResidualMatrix, ScaledMatrix, beachmat","Rcpp","testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"beachmat","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.20.0",NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"beeswarm","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.0"
"BH","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.0"
"Biobase","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.64.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.0"
"BiocFileCache","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.12.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"BiocGenerics","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.50.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"BiocManager","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.30.25",NA,NA,"utils",NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"BiocNeighbors","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.22.0",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"BiocParallel","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.38.0",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table","Rmpi","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"BiocSingular","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.20.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"BiocVersion","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.19.1",NA,"R (>= 4.4.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"biomaRt","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.60.1",NA,"methods","utils, AnnotationDbi, progress, stringr, httr2, digest,
BiocFileCache, rappdirs, xml2",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, httptest2",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"Biostrings","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.72.1",NA,"R (>= 4.0.0), BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, stats, crayon","S4Vectors, IRanges, XVector","graphics, pwalign, BSgenome (>= 1.13.14),
BSgenome.Celegans.UCSC.ce2 (>= 1.3.11),
BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.0"
"bit","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bit64","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bitops","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0-8",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"blob","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"brew","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"brio","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"broom","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.6",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, MASS, mclust, mediation, metafor, mfx, mgcv,
mlogit, modeldata, modeltests (>= 0.1.6), muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rmarkdown, robust, robustbase, rsample, sandwich,
spdep (>= 1.1), spatialreg, speedglm, spelling, survey,
survival (>= 3.6-4), systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"bslib","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.8.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"cachem","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"Cairo","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.6-2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"callr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"car","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"carData","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"caTools","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"cellranger","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"checkmate","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.3.2",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"circlize","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.16",NA,"R (>= 4.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"cli","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.6.3",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"clipr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"clue","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3-65",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"clusterGeneration","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3.8",NA,"R (>= 3.5.0), MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"clusterProfiler","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.12.6",NA,"R (>= 3.5.0)","AnnotationDbi, downloader, DOSE (>= 3.23.2), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim (>= 2.27.2), gson (>= 0.0.7), httr,
igraph, magrittr, methods, plyr, qvalue, rlang, stats, tidyr,
utils, yulab.utils (>= 0.1.5)",NA,"AnnotationHub, knitr, jsonlite, readr, rmarkdown,
org.Hs.eg.db, prettydoc, BiocManager, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"clustree","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.1",NA,"R (>= 3.5), ggraph","checkmate, igraph, dplyr, grid, ggplot2 (>= 3.4.0), viridis,
methods, rlang, tidygraph, ggrepel",NA,"testthat (>= 2.1.0), knitr, rmarkdown, SingleCellExperiment,
Seurat (>= 2.3.0), covr, SummarizedExperiment, pkgdown,
spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"coda","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"CodeAndRoll2","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.6.0",NA,"Stringendo","colorRamps, dplyr, gplots, gtools, plyr, RColorBrewer,
sessioninfo, stringr",NA,"grDevices, sm",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"colorRamps","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.3.4",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"colorspace","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"combinat","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.4.1"
"commonmark","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.9.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ComplexHeatmap","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.20.0",NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"conflicted","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"corrplot","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.94",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"COSG","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9.0",NA,NA,"data.table, proxyC, Seurat",NA,"testthat",NA,"BSD 3-Clause | LICENSE",NA,NA,NA,NA,"no","4.4.1"
"cowplot","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.3",NA,"R (>= 3.5.0)","ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"cpp11","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.0",NA,"R (>= 3.6.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"crayon","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"credentials","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"crosstalk","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"curl","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","5.2.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"data.table","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.16.0",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"data.tree","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.0",NA,"R (>= 3.5)","R6, stringi, methods",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, treemap, party, partykit, doParallel,
foreach, htmlwidgets, DiagrammeR (>= 1.0.0), mockery, rpart","igraph","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"DatabaseLinke.R","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.7.0",NA,NA,"ReadWriter, stats, utils",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"DBI","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"dbplyr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.5.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"DelayedArray","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.30.1",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.43.4), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3), S4Arrays (>= 1.3.5), SparseArray (>=
1.1.10)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"DelayedMatrixStats","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.26.0",NA,"MatrixGenerics (>= 1.15.1), DelayedArray (>= 0.27.10)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"deldir","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"dendextend","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.17.1",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.1"
"DEoptim","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.2-8",NA,"parallel","methods",NA,"foreach, iterators, colorspace, lattice, parallelly",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"DEoptimR","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1-3",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"Deriv","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"desc","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
